Actual Power,Predicted Power,Difference
28.5969288104053,28.545227,0.05170175962404855
28.5969288104053,28.52774,0.06918833188967355
23.338638,23.963724,-0.6250861363525395
28.5969288104053,28.52911,0.06781885557131417
28.5969288104053,28.521626,0.07530329160647042
21.920227,21.808954,0.11127276110839901
24.625816,22.850746,1.7750698452148441
26.09502525,24.822422,1.2726032224121084
28.214327,28.485922,-0.2715948597412101
25.255018,24.653576,0.6014421027832029
32.90343149999998,34.049294,-1.145862018066424
28.5969288104053,28.574154,0.022774910258814174
31.423138,31.095331,0.3278068079834
34.036396,34.348804,-0.3124084738769497
28.5969288104053,28.643585,-0.04665639467282645
28.5969288104053,28.510475,0.0864536517138923
28.5969288104053,28.549837,0.047091697978540736
28.5969288104053,28.529118,0.06781122617678292
27.197933,27.08388,0.11405352917480371
23.623768,23.059763,0.5640050452880843
28.5969288104053,28.540457,0.05647203855471261
28.5969288104053,28.55752,0.039408897685571986
28.5969288104053,28.578001,0.01892778806643136
34.28206,34.17416,0.10789999633789193
25.713243,25.889952,-0.17670870593261867
28.5969288104053,28.530714,0.06621477537111886
30.496037,29.52572,0.9703164036865246
28.5969288104053,28.535276,0.06165239744143136
28.5969288104053,28.643358,-0.046429420185521764
28.5969288104053,28.609713,-0.012783790302709264
28.5969288104053,28.445053,0.15187570981936105
23.566296,23.78888,-0.22258339453124876
24.834608,24.962498,-0.12788971118164127
29.9504704,30.19779,-0.24731974587402306
20.96119,20.760502,0.2006881384277328
28.5969288104053,28.509815,0.08711359434084542
28.5969288104053,28.477852,0.1190769427295173
28.5969288104053,28.525385,0.07154390745119699
28.5969288104053,28.64331,-0.04638173646970145
25.606459,25.699385,-0.09292568933105372
26.8973468,26.50242,0.39492637458496205
26.056923,27.593494,-1.536571415283202
28.5969288104053,28.416473,0.18045542173342355
27.416916,26.502327,0.9145890346679693
25.52044,25.740639,-0.22019873291015557
26.426117,26.659983,-0.23386568127441265
26.693666,26.566643,0.1270232387695316
26.291958,25.811634,0.4803239362792979
28.5969288104053,28.535845,0.061084007548853236
33.151005,33.102543,0.04846212280273221
29.711002,30.542942,-0.83194004711914
32.952573875,32.137245,0.8153286967773425
24.097803,24.765598,-0.6677952971191417
25.463552,26.852123,-1.388571260498047
28.212526,29.154839,-0.9423125620117183
26.0918975,26.72088,-0.6289830084228498
31.10422,30.745152,0.3590684802246109
27.339905,26.81854,0.5213644268798845
25.12244,24.002317,1.1201225714111338
27.826654,28.957273,-1.1306194832763659
32.2954985,32.150875,0.1446234084472664
29.87768150000001,29.49019,0.38749099401856313
28.5969288104053,29.007175,-0.4102466351513421
28.121833499999997,28.152029,-0.030195537475588452
28.5969288104053,28.706968,-0.11003949708981864
28.5969288104053,28.524904,0.07202455930666574
28.590902,29.134075,-0.5431731647949221
32.108265,30.604982,1.5032826239013701
24.92432562,29.490881,-4.566555346186522
28.315871,28.424648,-0.10877728491210803
25.27040811111111,24.490671,0.7797369532741953
27.038815,26.773989,0.2648262762451168
25.358627,27.060797,-1.7021697376709
28.5969288104053,28.514563,0.08236620359377511
29.422254666666664,28.968727,0.45352755485025753
33.218384,33.16829,0.050094815429687856
26.91590188888889,28.041182,-1.1252796754421652
28.5969288104053,28.626371,-0.02944257326169364
34.742958,34.781906,-0.03894812792968594
30.00778,28.607674,1.400106354980469
28.5969288104053,28.530893,0.06603548459963449
28.5969288104053,28.550802,0.04612657957033761
27.517454,31.984472,-4.467018274780273
28.5969288104053,28.574154,0.022774910258814174
28.5969288104053,28.501305,0.0956241839404548
30.480436,30.541677,-0.061241474975584964
30.776388249999997,30.505007,0.27138145983886375
28.5969288104053,28.52621,0.07071802549318917
26.84553766666667,27.143276,-0.29773854793294063
28.5969288104053,28.497358,0.09957048826174386
25.734907,21.653591,4.08131584399414
28.5969288104053,28.530828,0.06610033445315011
24.114102,21.521507,2.5925947368164053
28.5969288104053,28.340202,0.2567264788623298
26.983278,25.29057,1.6927086945800767
28.5969288104053,28.58355,0.013379310893579799
21.646303,19.287886,2.358417334106445
28.5969288104053,28.574154,0.022774910258814174
28.5969288104053,28.531893,0.06503603391604074
27.279938,27.273764,0.006174343383790415
30.067592666666663,29.25718,0.8104134064127564
26.848618714285717,27.189304,-0.34068563752092373
28.309418,29.034088,-0.7246701347656241
35.71289849999999,36.03943,-0.3265302109375128
25.132595,23.47518,1.6574153277587875
28.5969288104053,28.37498,0.22194788389162667
21.865883,22.066126,-0.20024286975097638
28.5969288104053,28.431822,0.16510698728518136
28.736187,29.454597,-0.7184104731445302
25.547834,25.322256,0.22557791174316577
28.834038,28.839334,-0.0052964879150394495
27.84841800000001,26.623692,1.2247264411621188
31.674448714285717,31.379269,0.29518006804548236
32.953726499999995,32.920425,0.033301084960932315
30.345446,29.160797,1.184648880859374
26.259,24.214409,2.0445911254882816
27.823053,27.851318,-0.02826535937499841
28.5969288104053,28.530697,0.06623194150881417
24.625816,23.688936,0.9368797664794926
28.5969288104053,28.526312,0.07061693601565011
27.509718,27.636286,-0.1265677818603521
26.246653,25.741344,0.5053085480957016
28.5969288104053,28.508978,0.08795092039065011
28.5969288104053,28.574154,0.022774910258814174
28.5969288104053,28.398695,0.19823381833986886
25.11501,24.907204,0.20780632568359536
28.5969288104053,28.508215,0.08871385984377511
22.810827,22.065926,0.7449014018554685
28.5969288104053,28.528555,0.06837389402346261
28.5969288104053,28.423101,0.1738273852344001
24.528328,24.667667,-0.13933938891601727
22.644411,24.226652,-1.5822411453857406
28.5969288104053,28.517332,0.07959673337893136
28.5969288104053,28.37388,0.2230484240527595
25.873920750000003,25.664284,0.20963699755859722
33.3832,33.2343,0.1489012939453147
24.965818,25.030926,-0.06510775073242314
28.5969288104053,28.577946,0.018983101176782924
27.017168285714284,27.567564,-0.5503957249058331
24.206041999999997,24.45385,-0.24780779248047224
33.51372,33.57853,-0.06480935791015696
29.868803,30.11251,-0.24370768115234398
28.5969288104053,28.574154,0.022774910258814174
28.5969288104053,28.526337,0.07059214048342355
25.63858,25.669445,-0.03086503784179584
28.5969288104053,28.432814,0.16411516599611886
29.32262575,28.540138,0.782487505371094
28.424738,27.835781,0.588956902587892
25.675604,25.840322,-0.16471849450683607
31.090616,30.474815,0.615800631347657
28.5969288104053,28.386261,0.21066782407717355
22.872486,21.424456,1.4480303572998032
29.774249444444447,29.646235,0.1280149321153452
29.6556786,29.37101,0.2846687733398454
29.25784733333333,21.18981,8.068037534138995
28.5969288104053,28.624125,-0.027195716572240514
23.167465,22.492367,0.6750982092285156
28.5969288104053,28.515438,0.08149073057131417
26.919277,26.643116,0.2761610026855479
24.707905,24.671722,0.03618258789062523
31.382988,31.11605,0.26693727978515724
33.186726,32.731377,0.4553493520507814
26.680845,26.68575,-0.004904053955076648
27.285324,27.150728,0.13459577429199143
25.158379,25.297394,-0.13901479882812495
29.0063455,28.156113,0.8502328291015608
28.5969288104053,28.537888,0.05904123716311105
28.5969288104053,28.526773,0.07015535764650949
28.5969288104053,28.527538,0.06939051084475167
28.5969288104053,28.530167,0.06676218442873605
28.5969288104053,28.507568,0.08936045103029855
28.5969288104053,28.493584,0.1033451312060798
29.082563,30.71899,-1.636427325927734
29.467203,29.882942,-0.4157391997070299
23.90381,23.638756,0.26505420166015625
27.348675,28.328247,-0.9795720703124999
15.849063,20.241829,-4.392765918457032
26.396301,25.622414,0.7738873647460949
23.010149,21.579525,1.430624006103514
28.5969288104053,28.574154,0.022774910258814174
28.5969288104053,28.49601,0.1009189837451423
28.5969288104053,28.576569,0.02036020688967355
29.7212586,29.39728,0.32397886062011594
24.62675966666667,24.16047,0.46629061149088713
33.34538,33.37152,-0.026140996093751312
28.6837984,28.696682,-0.012883576318358791
27.52777683333333,26.399656,1.1281205375569634
32.66890455555556,32.91336,-0.2444560401475684
28.5969288104053,28.545963,0.050965523051782924
25.319643,22.841301,2.4783420356445305
24.218798,24.380371,-0.1615730937500004
28.5969288104053,28.531837,0.0650913470263923
24.424173666666665,24.910997,-0.48682372408040564
28.5969288104053,28.559362,0.03756639890627511
27.975912,27.449099,0.5268134129638682
25.956038,25.838415,0.11762285412597606
27.51114,27.668367,-0.15722738586425677
28.5969288104053,28.534824,0.062104439067407924
28.5969288104053,28.58239,0.014538978862329799
30.32138,30.151354,0.17002616394043102
32.9706424,32.915115,0.05552704355469018
25.907893,26.18368,-0.27578658068847517
30.961435,31.13908,-0.17764504760742028
27.150568,25.67733,1.473237982910156
29.046381,28.79646,0.24992180200195335
25.9732415,25.643112,0.3301293173828128
28.5969288104053,28.574154,0.022774910258814174
33.300967500000006,33.33721,-0.03624410888671292
28.5969288104053,28.574154,0.022774910258814174
28.5969288104053,28.439617,0.15731165342287667
28.5969288104053,28.322392,0.2745373003955329
28.5969288104053,28.601345,-0.004416251850560826
28.667566,28.800323,-0.13275748632812423
28.5969288104053,28.574154,0.022774910258814174
31.8121,31.883787,-0.07168715515136626
32.1715,32.34213,-0.1706287536621076
28.5969288104053,28.506966,0.0899631731982673
26.406548,26.359562,0.04698607983398517
28.5969288104053,28.408813,0.18811533384279855
30.355320500000005,30.014194,0.3411260114746142
24.073902,24.212368,-0.13846601147460902
30.53642,30.377369,0.15905107299804655
25.521633,25.835352,-0.3137189439697252
25.704058,25.834702,-0.13064353808593765
21.762825,21.576872,0.18595312805175723
23.51182775,24.17411,-0.6622826625976579
22.662504,22.101112,0.5613916342773422
25.5831965,24.545565,1.0376318485107419
28.941103,29.498539,-0.5574359709472674
28.5969288104053,28.574154,0.022774910258814174
28.5969288104053,28.508722,0.08820650510744699
25.135006,26.139427,-1.0044211850585931
24.241966,24.042788,0.19917844812011865
25.390701,25.50549,-0.11478834936523441
